Path;File;Number of lines;Changed Lines;Lines added;Lines removed;Number of contributers;Number of contributions;Number of fixes;Number of non fixes
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\service\internal\AbstractServiceRegistryImpl.java;AbstractServiceRegistryImpl.java;462;47;41;6;3;5;0;5
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\SQLQuery.java;SQLQuery.java;456;42;21;21;1;2;1;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\query\spi\HQLQueryPlan.java;HQLQueryPlan.java;455;56;29;27;3;6;1;5
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\spi\AbstractDelegatingSessionFactoryOptions.java;AbstractDelegatingSessionFactoryOptions.java;455;73;57;16;4;13;0;13
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\dialect\H2Dialect.java;H2Dialect.java;453;23;13;10;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\internal\ForeignKeys.java;ForeignKeys.java;451;126;97;29;4;5;1;4
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\persister\entity\AbstractPropertyMapping.java;AbstractPropertyMapping.java;451;529;334;195;4;11;5;6
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\internal\util\collections\ArrayHelper.java;ArrayHelper.java;450;20;19;1;2;3;1;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\spi\AbstractDelegatingSessionFactoryBuilder.java;AbstractDelegatingSessionFactoryBuilder.java;450;24;15;9;1;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\bytecode\enhance\internal\javassist\EntityEnhancer.java;EntityEnhancer.java;448;12;5;7;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\query\spi\QueryPlanCache.java;QueryPlanCache.java;448;51;35;16;3;5;0;5
